trial_id,label,label_name,hit,timed_out,outcome,fighting,final_x,dist_final,mean_dist,min_dist,frac_correct_side,n_reversals,n_reversals_wrong,n_reversals_correct,peak_excursion,n_frames,trial_duration_s,reaction_frames,reaction_s,game,subject,session
0,1,RIGHT,True,False,hit,False,740.0,30.0,254.35294117647058,30.0,0.9595588235294118,9,2,7,340.0,272,4.533333333333333,8.0,0.13333333333333333,graph_ml,Subject_002,Session_002
1,1,RIGHT,False,True,timeout_wrong,False,400.0,370.0,370.0,370.0,0.0,0,0,0,0.0,601,10.016666666666667,,,graph_ml,Subject_002,Session_002
2,0,LEFT,False,False,wrong_paddle,False,740.0,680.0,501.22222222222223,330.0,0.05,1,0,1,10.0,180,3.0,0.0,0.0,graph_ml,Subject_002,Session_002
3,1,RIGHT,True,False,hit,False,740.0,30.0,201.04597701149424,30.0,1.0,2,0,2,340.0,174,2.9,0.0,0.0,graph_ml,Subject_002,Session_002
4,1,RIGHT,True,False,hit,False,740.0,30.0,199.0,30.0,1.0,0,0,0,340.0,170,2.8333333333333335,0.0,0.0,graph_ml,Subject_002,Session_002
5,1,RIGHT,False,True,timeout_wrong,False,400.0,370.0,370.0,370.0,0.0,0,0,0,0.0,602,10.033333333333333,,,graph_ml,Subject_002,Session_002
6,1,RIGHT,True,False,hit,False,740.0,30.0,203.5,30.0,1.0,2,0,2,340.0,176,2.933333333333333,0.0,0.0,graph_ml,Subject_002,Session_002
7,0,LEFT,False,False,wrong_paddle,False,740.0,680.0,410.25925925925924,232.0,0.3487654320987654,4,1,3,108.0,324,5.4,40.0,0.6666666666666666,graph_ml,Subject_002,Session_002
8,0,LEFT,False,False,wrong_paddle,False,740.0,680.0,482.36042402826854,280.0,0.20848056537102475,4,3,1,60.0,283,4.716666666666667,7.0,0.11666666666666667,graph_ml,Subject_002,Session_002
9,1,RIGHT,False,True,timeout_close_strong,False,676.0,94.0,334.79534109816973,94.0,0.28286189683860236,4,2,2,276.0,601,10.016666666666667,431.0,7.183333333333334,graph_ml,Subject_002,Session_002
10,0,LEFT,False,False,wrong_paddle,False,740.0,680.0,477.1666666666667,342.0,0.0,2,2,0,0.0,240,4.0,,,graph_ml,Subject_002,Session_002
11,0,LEFT,False,False,wrong_paddle,False,740.0,680.0,503.63473053892216,342.0,0.0,2,2,0,0.0,334,5.566666666666666,,,graph_ml,Subject_002,Session_002
12,0,LEFT,False,False,wrong_paddle,False,740.0,680.0,426.4160583941606,240.0,0.3759124087591241,3,0,3,100.0,274,4.566666666666666,0.0,0.0,graph_ml,Subject_002,Session_002
13,1,RIGHT,True,False,hit,False,740.0,30.0,317.1835205992509,30.0,0.31835205992509363,4,4,0,340.0,534,8.9,364.0,6.066666666666666,graph_ml,Subject_002,Session_002
14,0,LEFT,False,False,wrong_paddle,False,740.0,680.0,394.8138195777351,308.0,0.05950095969289827,2,1,1,32.0,521,8.683333333333334,319.0,5.316666666666666,graph_ml,Subject_002,Session_002
15,0,LEFT,False,False,wrong_paddle,False,740.0,680.0,511.0,342.0,0.0,0,0,0,0.0,170,2.8333333333333335,,,graph_ml,Subject_002,Session_002
16,1,RIGHT,True,False,hit,False,740.0,30.0,199.0,30.0,1.0,0,0,0,340.0,170,2.8333333333333335,0.0,0.0,graph_ml,Subject_002,Session_002
17,0,LEFT,False,False,wrong_paddle,False,740.0,680.0,483.1111111111111,342.0,0.0,6,6,0,0.0,288,4.8,,,graph_ml,Subject_002,Session_002
18,0,LEFT,False,True,timeout_wrong,False,542.0,482.0,313.1794019933555,134.0,0.34717607973421927,4,1,3,206.0,602,10.033333333333333,321.0,5.35,graph_ml,Subject_002,Session_002
19,1,RIGHT,True,False,hit,False,740.0,30.0,199.0,30.0,1.0,0,0,0,340.0,170,2.8333333333333335,0.0,0.0,graph_ml,Subject_002,Session_002
20,0,LEFT,False,False,wrong_paddle,False,740.0,680.0,448.44029850746267,336.0,0.011194029850746268,2,1,1,4.0,268,4.466666666666667,94.0,1.5666666666666667,graph_ml,Subject_002,Session_002
21,0,LEFT,False,False,wrong_paddle,False,740.0,680.0,393.92549019607844,284.0,0.10784313725490197,2,1,1,56.0,510,8.5,284.0,4.733333333333333,graph_ml,Subject_002,Session_002
22,0,LEFT,False,False,wrong_paddle,False,740.0,680.0,407.0808080808081,226.0,0.32996632996632996,10,4,6,114.0,594,9.9,140.0,2.3333333333333335,graph_ml,Subject_002,Session_002
23,0,LEFT,False,False,wrong_paddle,False,740.0,680.0,439.04794520547944,326.0,0.07534246575342465,4,2,2,14.0,292,4.866666666666666,98.0,1.6333333333333333,graph_ml,Subject_002,Session_002
24,1,RIGHT,True,False,hit,False,740.0,30.0,321.37564322469984,30.0,0.2915951972555746,2,2,0,340.0,583,9.716666666666667,413.0,6.883333333333334,graph_ml,Subject_002,Session_002
25,1,RIGHT,True,False,hit,False,740.0,30.0,201.0,30.0,0.9883720930232558,0,0,0,340.0,172,2.8666666666666667,2.0,0.03333333333333333,graph_ml,Subject_002,Session_002
26,0,LEFT,False,False,wrong_paddle,False,740.0,680.0,470.34179357022,298.0,0.06937394247038917,10,9,1,42.0,591,9.85,207.0,3.45,graph_ml,Subject_002,Session_002
27,1,RIGHT,False,True,timeout_close_strong,False,660.0,110.0,342.4433333333333,110.0,0.21666666666666667,4,4,0,260.0,600,10.0,470.0,7.833333333333333,graph_ml,Subject_002,Session_002
28,1,RIGHT,True,False,hit,False,740.0,30.0,272.5652173913044,30.0,0.6159420289855072,2,2,0,340.0,276,4.6,106.0,1.7666666666666666,graph_ml,Subject_002,Session_002
